,prop,name,url,east,north,uarn,descrip,nav,rv,effdate,category,postcode,lattitude,longitude
0,DUNDEE CITY COUNCIL,"JANET BROUGHAM HOUSE, 1 BANCHORY ROAD, DUNDEE, DD4 7BS",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=303198&PPRN=303198&ASSESSOR_IDX=14#results,343799,732141,303198,HOME,"&pound;109,500","&pound;109,500",01/04/2023,CareFacilities,DD4 7BS,56.47800522,-2.91400942
1,MICHAEL J & MRS ELEANOR H MAHONEY,"DUDHOPE VILLA, 1 ST MARY PLACE, DUNDEE, DD1 5RB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=750572&PPRN=750572&ASSESSOR_IDX=14#results,339159,730721,750572,HOME,"&pound;10,000","&pound;10,000",01/04/2023,CareFacilities,DD1 5RB,56.46467181,-2.98899428
2,THE RICHMOND FELLOWSHIP,"FLAT 8, 2 PITAIRLIE ROAD, DUNDEE, DD4 8DB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=307539&PPRN=307539&ASSESSOR_IDX=14#results,342526,732201,307539,HOSTEL,"&pound;7,700","&pound;7,700",01/04/2023,CareFacilities,DD4 8DB,56.47839029,-2.93468637
3,DUNDEE CITY COUNCIL,"3 KINGS CROSS ROAD, DUNDEE, DD2 3PT",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=307003&PPRN=307003&ASSESSOR_IDX=14#results,338450,731939,307003,HOME,"&pound;63,400","&pound;63,400",01/04/2023,CareFacilities,DD2 3PT,56.47552062,-3.0007869
4,JACK VISSER,"3 ARGYLE PLACE, THOMSON STREET, DUNDEE, DD1 4LE",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=307460&PPRN=307460&ASSESSOR_IDX=14#results,339074,729631,307460,HOSTEL,"&pound;5,400","&pound;5,400",01/04/2023,CareFacilities,DD1 4LE,56.45487022,-2.99011831
5,DUNDEE CITY COUNCIL,"TURRIFF HOUSE, 4 RANNOCH ROAD, DUNDEE, DD3 8RB",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=110278&PPRN=110278&ASSESSOR_IDX=14#results,338260,733207,110278,HOME,"&pound;89,100","&pound;89,100",01/04/2023,CareFacilities,DD3 8RB,56.48688581,-3.00417195
6,PETER & MRS CAROL PHILIP,"TIGHNAMUIRN, 4 VICTORIA STREET, MONIFIETH, DUNDEE, DD5 4HL",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=756018&PPRN=756018&ASSESSOR_IDX=14#results,349521,732666,756018,HOME,"&pound;117,250","&pound;117,250",01/04/2023,CareFacilities,DD5 4HL,56.48336972,-2.82122828
7,ABERLOUR CHILDCARE TRUST,"COWAN GROVE, 5 COWAN PLACE, DUNDEE, DD4 6QL",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=305083&PPRN=305083&ASSESSOR_IDX=14#results,340765,731213,305083,HOSTEL,"&pound;41,100","&pound;41,100",01/04/2023,CareFacilities,DD4 6QL,56.46929658,-2.96304658
8,SENSE SCOTLAND,"5 FLEUCHAR STREET, DUNDEE, DD2 2LQ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=812412&PPRN=812412&ASSESSOR_IDX=14#results,338818,730529,812412,HOME,"&pound;18,700","&pound;18,700",01/04/2023,CareFacilities,DD2 2LQ,56.46290309,-2.99448224
9,DUNDEE CITY COUNCIL,"7 FAIRBAIRN STREET, DUNDEE, DD3 7JH",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=764571&PPRN=764571&ASSESSOR_IDX=14#results,340520,731587,764571,HOME,"&pound;20,500","&pound;20,500",01/04/2023,CareFacilities,DD3 7JH,56.47262515,-2.96710808
10,TRS FOR HOME OF REST FOR AGED & INFIRM IN BROUGHTY FERRY,"FERRY HOUSE   BEACH CRESCENT &, 8 GRAY STREET, BROUGHTY FERRY, DUNDEE, DD5 2BH",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=053531&PPRN=053531&ASSESSOR_IDX=14#results,346261,730688,53531,HOME,"&pound;17,100","&pound;17,100",01/04/2023,CareFacilities,DD5 2BH,56.4652406,-2.87374491
11,TLC GROUP,"8 FLEMING GARDENS EAST, DUNDEE, DD3 7LN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=754299&PPRN=754299&ASSESSOR_IDX=14#results,340512,731985,754299,HOSTEL,"&pound;12,100","&pound;12,100",01/04/2023,CareFacilities,DD3 7LN,56.47619927,-2.96732898
12,TLC GROUP,"9 ELIZA STREET, DUNDEE, DD4 6TP",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=314439&PPRN=314439&ASSESSOR_IDX=14#results,341093,731566,314439,HOSTEL,"&pound;12,600","&pound;12,600",01/04/2023,CareFacilities,DD4 6TP,56.47250873,-2.95780359
13,KENNEDY CARE GROUP  (HOLDINGS) LIMITED,"10 DUDHOPE TERRACE, DUNDEE, DD3 6HG",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=094835&PPRN=094835&ASSESSOR_IDX=14#results,339411,730884,94835,HOME,"&pound;27,100","&pound;27,100",01/04/2023,CareFacilities,DD3 6HG,56.46616848,-2.98494321
14,TRUSTEES EX OFFICIIS OF BOOMERANG COMMUNITY CENTRE,"10 KEMBACK STREET, DUNDEE, DD4 6ET",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=732094&PPRN=732094&ASSESSOR_IDX=14#results,341160,731188,732094,OCCUPATIONAL CENTRE,"&pound;57,600","&pound;57,600",01/04/2023,CareFacilities,DD4 6ET,56.46912168,-2.95663067
15,TLC GROUP,"11 ELIZA STREET, DUNDEE, DD4 6TP",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=314440&PPRN=314440&ASSESSOR_IDX=14#results,341089,731569,314440,HOSTEL,"&pound;12,600","&pound;12,600",01/04/2023,CareFacilities,DD4 6TP,56.47253517,-2.95786919
16,TLC GROUP,"14 BOWER MILL LANE, DUNDEE, DD3 9UE",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=329160&PPRN=329160&ASSESSOR_IDX=14#results,337157,734020,329160,HOSTEL,"&pound;9,000","&pound;9,000",15/05/2023,CareFacilities,DD3 9UE,56.49404245,-3.02227603
17,CYGNET HEALTH CARE LTD,"CYGNET THISTLE HOUSE, 14 FAIRFIELD ROAD, BROUGHTY FERRY, DUNDEE, DD5 1PL",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=751655&PPRN=751655&ASSESSOR_IDX=14#results,344572,731559,751655,HOME,"&pound;64,800","&pound;64,800",01/07/2023,CareFacilities,DD5 1PL,56.47286889,-2.90133777
18,DUNDEE WOMAN'S AID,"17-29 PITAIRLIE ROAD, DUNDEE, DD4 8DG",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=805161&PPRN=805161&ASSESSOR_IDX=14#results,342401,732519,805161,HOSTEL,"&pound;56,800","&pound;56,800",01/04/2023,CareFacilities,DD4 8DG,56.4812315,-2.93678585
19,TLC GROUP,"22 THOMSON STREET, DUNDEE, DD1 4LE",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=086414&PPRN=086414&ASSESSOR_IDX=14#results,339092,729644,86414,HOSTEL,"&pound;2,475","&pound;2,475",01/04/2023,CareFacilities,DD1 4LE,56.45498932,-2.98982935
20,DUNDEE CITY COUNCIL,"CRAIGIE COTTAGE, 25 SOUTHAMPTON ROAD, DUNDEE, DD4 7PN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=329277&PPRN=329277&ASSESSOR_IDX=14#results,343570,731350,329277,HOME,"&pound;56,300","&pound;56,300",31/07/2023,CareFacilities,DD4 7PN,56.47087246,-2.91755505
21,TLC GROUP,"1/2, 29C STEP ROW, DUNDEE, DD2 1AH",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=322992&PPRN=322992&ASSESSOR_IDX=14#results,338980,729588,322992,HOSTEL,"&pound;2,000","&pound;2,000",01/04/2023,CareFacilities,DD2 1AH,56.45447182,-2.9916331
22,TLC GROUP,"1/1, 29D STEP ROW, DUNDEE, DD2 1AH",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=322993&PPRN=322993&ASSESSOR_IDX=14#results,338980,729588,322993,HOSTEL,"&pound;2,000","&pound;2,000",01/04/2023,CareFacilities,DD2 1AH,56.45447182,-2.9916331
23,TLC GROUP,"30 BROUGHAM GARDENS, DUNDEE, DD4 6TN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=314480&PPRN=314480&ASSESSOR_IDX=14#results,340810,731398,314480,HOSTEL,"&pound;1,550","&pound;1,550",01/04/2023,CareFacilities,DD4 6TN,56.47096405,-2.96235841
24,DUNKELD CARE LTD,"ST MARY'S HOME, 39 PANMURE STREET, MONIFIETH, DUNDEE, DD5 4EG",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=125514&PPRN=125514&ASSESSOR_IDX=14#results,350196,732997,125514,HOME,"&pound;48,600","&pound;48,600",01/04/2023,CareFacilities,DD5 4EG,56.48641511,-2.81033324
25,TLC GROUP,"40A ROSEFIELD STREET, DUNDEE, DD1 5PS",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=329271&PPRN=329271&ASSESSOR_IDX=14#results,338786,730397,329271,HOSTEL,"&pound;4,850","&pound;4,850",05/07/2023,CareFacilities,DD1 5PS,56.4617133,-2.99497039
26,TLC GROUP,"40C ROSEFIELD STREET, DUNDEE, DD1 5PS",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=329272&PPRN=329272&ASSESSOR_IDX=14#results,338786,730397,329272,HOSTEL,"&pound;4,850","&pound;4,850",17/05/2023,CareFacilities,DD1 5PS,56.4617133,-2.99497039
27,PRIORITY CARE LIMITED,"MAGDALEN HOUSE, 41 ROSEANGLE, DUNDEE, DD1 4LZ",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=085656&PPRN=085656&ASSESSOR_IDX=14#results,339310,729520,85656,HOME,"&pound;34,000","&pound;34,000",01/04/2023,CareFacilities,DD1 4LZ,56.45390365,-2.98626404
28,BALFIELD PROPERTIES LTD T/A WESTLANDS,"WESTLANDS, 44 STRATHERN ROAD, BROUGHTY FERRY, DUNDEE, DD5 1PN",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=310221&PPRN=310221&ASSESSOR_IDX=14#results,344454,731423,310221,HOME,"&pound;36,800","&pound;36,800",01/04/2024,CareFacilities,DD5 1PN,56.47163333,-2.9032239
29,KENNEDY CARE GROUP  (HOLDINGS) LIMITED,"REDWOOD HOUSE, 53 SEAFIELD ROAD, BROUGHTY FERRY, DUNDEE, DD5 3AL",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=056098&PPRN=056098&ASSESSOR_IDX=14#results,345964,731624,56098,HOME,"&pound;34,000","&pound;34,000",01/04/2023,CareFacilities,DD5 3AL,56.47361456,-2.87875869
30,CAALCARE LIMITED,"ROSE LODGE, 53-57 SEAFIELD ROAD, DUNDEE, DD1 4NA",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=085775&PPRN=085775&ASSESSOR_IDX=14#results,339317,729544,85775,HOME,"&pound;16,800","&pound;16,800",01/04/2023,CareFacilities,DD1 4NA,56.45412012,-2.98615607
31,HC-ONE OVAL LIMITED,"BALCARRES, 64 ALBANY ROAD, BROUGHTY FERRY, DUNDEE, DD5 1NW",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=050985&PPRN=050985&ASSESSOR_IDX=14#results,344939,731337,50985,HOME,"&pound;56,200","&pound;56,200",01/04/2023,CareFacilities,DD5 1NW,56.47091776,-2.89533431
32,MARKETGAIT DEVELOPMENTS LTD,"EAST PORT HOUSE, 67 KING STREET, DUNDEE, DD1 2JY",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=734209&PPRN=734209&ASSESSOR_IDX=14#results,340688,730782,734209,HOSTEL,"&pound;71,600","&pound;71,600",01/04/2023,CareFacilities,DD1 2JY,56.46541533,-2.96419793
33,BALHOUSIE CARE LTD,"MOYNESS, 76-78 GROVE ROAD, BROUGHTY FERRY, DUNDEE, DD5 1JP",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=051968&PPRN=051968&ASSESSOR_IDX=14#results,345251,731504,51968,HOME,"&pound;44,500","&pound;44,500",01/04/2023,CareFacilities,DD5 1JP,56.47245427,-2.89030587
34,ROSEBANK (DUNDEE) LIMITED,"MCGONAGALL HOUSE, 79-85 ROSEBANK STREET, DUNDEE, DD3 6PG",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=755233&PPRN=755233&ASSESSOR_IDX=14#results,339988,731146,755233,HOME,"&pound;100,000","&pound;100,000",01/04/2023,CareFacilities,DD3 6PG,56.46859605,-2.97564063
35,HEART LAND (HIGHLAND) LLP,"BRAE COTTAGE, 89 QUEEN STREET, BROUGHTY FERRY, DUNDEE, DD5 1AF",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=750560&PPRN=750560&ASSESSOR_IDX=14#results,346013,731095,750560,HOME,&pound;0,&pound;0,01/04/2023,CareFacilities,DD5 1AF,56.46886825,-2.87785364
36,DUNDEE SURVIVAL GROUP,"100 FOUNDRY LANE, DUNDEE, DD4 6AY",https://www.saa.gov.uk/search/?SEARCHED=1&ST=advanced&SEARCH_TABLE=valuation_roll_cpsplit&TYPE_FLAG=C&STREET=&TPTLA=Dundee&POSTCODE=&ASSESSOR_ID=tayside&CLASS=0018&CORE=&CORE2=&FEFFECTIVE_DATE=&TEFFECTIVE_DATE=&MIN_RV=&MAX_RV=&AS_UARN=&DISPLAY_COUNT=100&ST=advanced&DISPLAY_MODE=FULL&UARN=790333&PPRN=790333&ASSESSOR_IDX=14#results,341071,730786,790333,SUPPORTED ACCOMMODATION,"&pound;63,000","&pound;63,000",01/04/2023,CareFacilities,DD4 6AY,56.46549951,-2.95798395
